date,open_interest,open_interest_usd
2026-04-19,3482605.660000031,
2026-04-20,3436475.79000003,
2026-04-21,3527045.8900000323,
2026-04-22,3492412.0800000275,
2026-04-23,3603873.030000028,
2026-04-24,3514426.130000025,
2026-04-25,3352608.1300000227,
2026-04-26,3238435.920000019,
2026-04-27,3210614.5300000203,
2026-04-28,3293730.160000021,
2026-04-29,3184445.0500000184,
2026-04-30,3134586.300000016,
2026-05-01,3125710.510000016,
2026-05-02,3291273.7100000205,
2026-05-03,3175246.710000018,
2026-05-04,3348951.7100000186,
2026-05-05,3382929.2100000125,
2026-05-06,3561175.0700000124,
2026-05-07,3385807.8000000124,
2026-05-08,3383588.020000024,
2026-05-09,3375996.770000019,
2026-05-10,3427118.91000002,
2026-05-11,3413895.53000002,
2026-05-12,3414112.800000021,
2026-05-13,3303978.070000022,
2026-05-14,3405535.470000015,
2026-05-15,3234938.43000001,
2026-05-16,3310811.5100000207,
2026-05-17,3427504.6600000225,
2026-05-18,3479205.810000016,
2026-05-19,3354501.8700000136,
2026-05-20,3331359.830000012,
2026-05-21,3253663.8400000227,
2026-05-22,3221173.4000000223,
2026-05-23,3396140.170000026,
2026-05-24,3288845.9600000186,
2026-05-25,3153397.7300000177,
2026-05-26,3199473.1700000167,
2026-05-27,3371524.250000021,
2026-05-28,3664209.970000024,
2026-05-29,3611591.830000016,
2026-05-30,3407190.4200000204,
2026-05-31,3430264.410000024,
2026-06-01,3446934.4400000204,
2026-06-02,3608607.6900000176,
2026-06-03,3822064.370000016,
2026-06-04,3558479.600000016,
2026-06-05,3510535.840000017,
2026-06-06,3108819.6100000115,
2026-06-07,3189211.870000012,
2026-06-08,2642923.0700000105,
2026-06-09,2865013.2100000074,
2026-06-10,3040784.080000012,
2026-06-11,3132360.8700000094,
2026-06-12,3009222.75000001,
2026-06-13,2991006.3300000085,
2026-06-14,3131636.3800000087,
2026-06-15,3283732.720000012,
2026-06-16,3117028.400000011,
2026-06-17,3020418.49000001,
2026-06-18,2885789.470000008,
2026-06-19,3046001.140000009,
2026-06-20,3041949.980000015,
2026-06-21,3021523.1400000155,
2026-06-22,2988899.2100000125,
2026-06-23,3040116.980000012,
2026-06-24,3121238.460000014,
2026-06-25,3238073.490000013,
2026-06-26,3296360.45000001,
2026-06-27,3177179.6700000074,
2026-06-28,3159866.620000008,
2026-06-29,3179398.700000012,
2026-06-30,3248084.390000012,
2026-07-01,3448691.860000006,
2026-07-02,3133104.280000015,
2026-07-03,3203062.560000011,
2026-07-04,3169439.260000013,
2026-07-05,3050631.98000001,
2026-07-06,3079996.750000012,
2026-07-07,3016711.2300000093,
2026-07-08,3028395.550000013,
2026-07-09,3096355.880000016,
2026-07-10,3039592.370000012,
2026-07-11,3057634.7800000138,
2026-07-12,3121766.380000013,
2026-07-13,3122771.3200000143,
2026-07-14,3189355.280000017,
2026-07-15,3065592.550000016,
2026-07-16,3086636.0700000133,
2026-07-17,3052195.140000015,
2026-07-18,3091919.240000018,
2026-07-19,3113088.6300000194,
2026-07-20,3132528.6600000192,
2026-07-21,3126277.960000012,
2026-07-22,3180636.450000012,
2026-07-23,3054002.120000014,
2026-07-24,3131450.070000017,
2026-07-25,3219049.000000013,
2026-07-26,3195651.59000002,
2026-07-27,3041409.870000013,
2026-07-28,3183336.2200000184,
2026-07-29,3143942.060000012,
2026-07-30,3024749.030000014,
2026-07-31,3044679.990000014,
2026-08-01,3188268.010000014,
2026-08-02,3116492.880000015,
2026-08-03,3166496.3100000145,
2026-08-04,3195080.440000014,
2026-08-05,3096004.960000018,
2026-08-06,3104710.780000019,
2026-08-07,3210255.20000002,
2026-08-08,3134817.1600000137,
2026-08-09,3128151.830000012,
2026-08-10,3155800.6200000183,
2026-08-11,3251689.230000016,
2026-08-12,3206846.51000002,
2026-08-13,3359532.4600000195,
2026-08-14,3245689.110000015,
2026-08-15,3419468.060000018,
2026-08-16,3360835.8200000185,
2026-08-17,3347475.1700000195,
2026-08-18,3218437.1400000127,
2026-08-19,3294293.380000016,
2026-08-20,3137220.910000009,
2026-08-21,2971518.810000012,
2026-08-22,2997541.2000000137,
2026-08-23,2969675.4500000137,
2026-08-24,2986818.200000009,
2026-08-25,2848198.0700000087,
2026-08-26,2935420.2700000075,
2026-08-27,2795882.980000007,
2026-08-28,2829891.830000014,
2026-08-29,2911963.050000008,
2026-08-30,2852481.9300000127,
2026-08-31,2741038.0400000084,
2026-09-01,2756492.560000007,
2026-09-02,2867679.2600000096,
2026-09-03,2873199.350000012,
2026-09-04,2949786.660000007,
2026-09-05,2747184.69000001,
2026-09-06,2721857.4600000065,
