date_utc,price,mvrv,mvrv_peak_90d,mayer,dd_from_ath_pct,zone,drawdown_call,confidence,engine_regime,engine_risk_state,mvrv_source
2026-05-31,73907.3,1.365,1.517,0.929,-40.7,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-05-30)
2026-06-01,72906.9,1.362,1.517,0.918,-41.5,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-05-31)
2026-06-02,70268.8,1.321,1.517,0.886,-43.7,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-01)
2026-06-03,67134.5,1.236,1.517,0.849,-46.2,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-02)
2026-06-04,64212.9,1.196,1.517,0.813,-48.5,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-03)
2026-06-05,62148.1,1.186,1.517,0.789,-50.2,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-04)
2026-06-06,60859.7,1.137,1.517,0.774,-51.2,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_NEUTRAL,coinmetrics_live(2026-06-05)
2026-06-07,61660.0,1.135,1.517,0.786,-50.6,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-06)
2026-06-08,63049.7,1.179,1.517,0.805,-49.4,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-07)
2026-06-09,63276.4,1.179,1.517,0.809,-49.3,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-08)
2026-06-10,61380.0,1.152,1.517,0.786,-50.8,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-09)
2026-06-11,62900.1,1.149,1.517,0.806,-49.6,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-10)
2026-06-12,63099.9,1.188,1.517,0.81,-49.4,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-11)
2026-06-13,63555.2,1.188,1.517,0.817,-49.0,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-12)
2026-06-14,64320.2,1.205,1.517,0.828,-48.4,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-13)
2026-06-15,65748.2,1.228,1.517,0.848,-47.3,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-14)
2026-06-16,66327.2,1.239,1.517,0.857,-46.8,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-15)
2026-06-17,65537.9,1.229,1.517,0.848,-47.5,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-16)
2026-06-18,64032.1,1.206,1.517,0.83,-48.7,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-17)
2026-06-19,62838.9,1.177,1.517,0.816,-49.6,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-18)
2026-06-20,63591.6,1.186,1.517,0.827,-49.0,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-19)
2026-06-21,64230.0,1.203,1.517,0.837,-48.5,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-20)
2026-06-22,64140.9,1.187,1.517,0.837,-48.6,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-21)
2026-06-23,63324.0,1.197,1.517,0.828,-49.2,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-22)
2026-06-24,62807.3,1.173,1.517,0.823,-49.6,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-23)
2026-06-25,61535.2,1.142,1.517,0.808,-50.7,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-24)
2026-06-26,59713.9,1.124,1.517,0.786,-52.1,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-25)
2026-06-27,60165.0,1.127,1.517,0.793,-51.8,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-26)
2026-06-28,59899.1,1.127,1.517,0.791,-52.0,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-27)
2026-06-29,60076.0,1.119,1.517,0.795,-51.8,NEUTRAL,AMBIGUOUS,0.3,BEAR,RISK_OFF,coinmetrics_live(2026-06-28)
2026-06-30,59499.6,1.132,1.517,0.789,-52.3,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_NEUTRAL,coinmetrics_live(2026-06-29)
2026-07-01,58840.2,1.103,1.517,0.782,-52.8,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_OFF,coinmetrics_live(2026-06-30)
2026-07-02,60423.4,1.132,1.517,0.805,-51.6,NEUTRAL,AMBIGUOUS,0.3,TRANSITION,RISK_NEUTRAL,coinmetrics_live(2026-07-01)
2026-07-03,61609.5,1.158,1.517,0.822,-50.6,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-02)
2026-07-04,62455.2,1.179,1.517,0.835,-49.9,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-03)
2026-07-05,62698.1,1.189,1.517,0.839,-49.7,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-04)
2026-07-06,63000.1,1.199,1.517,0.844,-49.5,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-05)
2026-07-07,63080.9,1.207,1.517,0.847,-49.4,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-06)
2026-07-08,62761.3,1.196,1.517,0.844,-49.7,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-07)
2026-07-09,62489.9,1.173,1.517,0.842,-49.9,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-08)
2026-07-10,64043.1,1.192,1.517,0.864,-48.7,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-09)
2026-07-11,64091.3,1.21,1.517,0.866,-48.6,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-10)
2026-07-12,63899.1,1.205,1.517,0.865,-48.8,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-11)
2026-07-13,62581.2,1.203,1.517,0.849,-49.8,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-12)
2026-07-14,62651.2,1.174,1.517,0.851,-49.8,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-13)
2026-07-15,64751.7,1.228,1.517,0.881,-48.1,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-14)
2026-07-16,64566.6,1.225,1.517,0.88,-48.2,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-15)
2026-07-17,63425.2,1.206,1.517,0.866,-49.1,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_ON,coinmetrics_live(2026-07-16)
2026-07-18,63910.8,1.209,1.517,0.874,-48.8,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-17)
2026-07-19,64734.3,1.225,1.517,0.886,-48.1,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-18)
2026-07-20,64131.1,1.223,1.517,0.879,-48.6,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-19)
2026-07-21,65476.2,1.233,1.517,0.899,-47.5,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-20)
2026-07-22,66211.6,1.255,1.517,0.911,-46.9,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-21)
2026-07-23,65577.5,1.248,1.517,0.904,-47.4,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-22)
2026-07-24,65308.5,1.231,1.517,0.902,-47.6,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-23)
2026-07-25,64093.3,1.213,1.517,0.887,-48.6,NEUTRAL,AMBIGUOUS,0.3,BULL,RISK_NEUTRAL,coinmetrics_live(2026-07-24)
